AC MUS VEIGA;1;1;0;0;0;0;4
BAR D'ANDREA;1;1;0;0;0;0;4
CAFETERÍA VALSA;1;1;0;0;0;0;4
CAFÉ BAR ÉBANO;1;1;0;0;0;0;4
CÉLTICA;1;0;1;0;0;0;3
PEÑA CARBAYEDO;1;0;1;0;0;0;3
S.AG.-KAME.NET;1;0;1;0;0;0;3
S.AG.-RÍAS BAIXAS;1;0;1;0;0;0;3
XAREU;1;0;1;0;0;0;3
4 VIENTOS;1;0;0;1;0;0;2
BAR HABANA;1;0;0;1;0;0;2
BAR LA ARENA;1;0;0;1;0;0;2
C'LOLO;1;0;0;1;0;0;2
CAFÉ BAR PIOL;1;0;0;1;0;0;2
LA BREÑA;1;0;0;1;0;0;2
S.AG.-CÉLTICA;1;0;0;1;0;0;2
SIDRERÍA ALBORADA;1;0;0;1;0;0;2
BAR CAMPY;1;0;0;0;1;0;1
CASA GERMÁN;1;0;0;0;1;0;1
CASA TERE;1;0;0;0;1;0;1
RINCÓN DE CAROL;1;0;0;0;1;0;1
VALSA MUS;1;0;0;0;1;0;1
8 VILLAS;1;0;0;0;0;1;0
CHURRERÍA;1;0;0;0;0;1;0
LA PICOSA;0;0;0;0;0;0;0
MUS EL CHALANÍN;1;0;0;0;0;1;0
PEÑA MUS MONCHI;1;0;0;0;0;1;0
