PEÑA CARBAYEDO;3;1;2;0;0;0;10
S.AG.-KAME.NET;3;1;2;0;0;0;10
XAREU;3;1;2;0;0;0;10
AC MUS VEIGA;3;2;0;0;1;0;9
BAR CAMPY;3;1;1;0;1;0;8
CASA TERE;3;1;1;0;1;0;8
CÉLTICA;3;0;2;1;0;0;8
BAR D'ANDREA;3;1;0;1;1;0;7
CAFETERÍA VALSA;3;1;0;1;1;0;7
CAFÉ BAR ÉBANO;2;1;1;0;0;0;7
S.AG.-RÍAS BAIXAS;3;0;2;0;1;0;7
BAR LA ARENA;3;1;0;1;0;1;6
RINCÓN DE CAROL;3;0;1;1;1;0;6
S.AG.-CÉLTICA;3;0;1;1;1;0;6
4 VIENTOS;3;0;1;1;0;1;5
8 VILLAS;3;0;1;1;0;1;5
CAFÉ BAR PIOL;3;0;0;2;1;0;5
CASA GERMÁN;2;1;0;0;1;0;5
VALSA MUS;3;1;0;0;1;1;5
C'LOLO;3;0;0;1;2;0;4
LA BREÑA;3;0;0;2;0;1;4
SIDRERÍA ALBORADA;3;0;0;2;0;1;4
BAR HABANA;3;0;0;1;1;1;3
CHURRERÍA;3;0;0;1;1;1;3
LA PICOSA;2;0;0;1;1;0;3
MUS EL CHALANÍN;3;0;0;0;1;2;1
PEÑA MUS MONCHI;3;0;0;0;0;3;0
